INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182070508,01402,Vandalism,VANDALISM,E18,543,,2018-09-02 09:26:00,2018,9,Sunday,9,Part Two,RIVER ST,42.25519156,-71.12761721,"(42.25519156, -71.12761721)"
I182070506,03115,Investigate Person,INVESTIGATE PERSON,A1,95,,2018-09-01 14:30:00,2018,9,Saturday,14,Part Three,ATLANTIC AVE,42.36033276,-71.05217290,"(42.36033276, -71.05217290)"
I182070505,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,235,,2018-09-01 09:00:00,2018,9,Saturday,9,Part Three,CRESCENT AVE,42.31895064,-71.05449231,"(42.31895064, -71.05449231)"
I182070504,03115,Investigate Person,INVESTIGATE PERSON,D14,778,,2018-09-02 09:56:00,2018,9,Sunday,9,Part Three,WASHINGTON ST,42.34905600,-71.15049850,"(42.34905600, -71.15049850)"
I182070503,03410,Towed,TOWED MOTOR VEHICLE,D4,285,,2018-09-02 07:53:00,2018,9,Sunday,7,Part Three,HAMMOND ST,42.33651082,-71.08339215,"(42.33651082, -71.08339215)"
I182070501,00361,Robbery,ROBBERY - OTHER,B2,177,,2018-09-01 19:00:00,2018,9,Saturday,19,Part One,,,,"(0.00000000, 0.00000000)"
I182070500,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,378,,2018-09-02 00:00:00,2018,9,Sunday,0,Part Three,CHICKATAWBUT ST,42.28665631,-71.04640009,"(42.28665631, -71.04640009)"
I182070499,00619,Larceny,LARCENY ALL OTHERS,C6,186,,2018-09-02 09:17:00,2018,9,Sunday,9,Part One,ALLSTATE RD,42.32809966,-71.06321676,"(42.32809966, -71.06321676)"
I182070498,03410,Towed,TOWED MOTOR VEHICLE,A1,83,,2018-09-02 07:33:00,2018,9,Sunday,7,Part Three,HENCHMAN ST,42.36721232,-71.05369636,"(42.36721232, -71.05369636)"
I182070497,01402,Vandalism,VANDALISM,C6,233,,2018-09-02 04:10:00,2018,9,Sunday,4,Part Two,E EIGHTH ST,42.33131745,-71.04411164,"(42.33131745, -71.04411164)"
I182070496,00619,Larceny,LARCENY ALL OTHERS,B2,318,,2018-09-02 00:00:00,2018,9,Sunday,0,Part One,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182070496,01402,Vandalism,VANDALISM,B2,318,,2018-09-02 00:00:00,2018,9,Sunday,0,Part Two,SEAVER ST,42.30878855,-71.09055618,"(42.30878855, -71.09055618)"
I182070495,03301,Verbal Disputes,VERBAL DISPUTE,B3,420,,2018-09-02 08:47:00,2018,9,Sunday,8,Part Three,W SELDEN ST,42.27376816,-71.08919673,"(42.27376816, -71.08919673)"
I182070494,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,194,,2018-09-02 08:22:00,2018,9,Sunday,8,Part Three,DORCHESTER AVE,42.33014012,-71.05695787,"(42.33014012, -71.05695787)"
I182070492,03410,Towed,TOWED MOTOR VEHICLE,D14,801,,2018-09-02 07:20:00,2018,9,Sunday,7,Part Three,FARRINGTON AVE,42.35429484,-71.13190433,"(42.35429484, -71.13190433)"
I182070491,00619,Larceny,LARCENY ALL OTHERS,C11,401,,2018-09-01 18:00:00,2018,9,Saturday,18,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)"
I182070489,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,619,,2018-09-02 07:33:00,2018,9,Sunday,7,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)"
I182070488,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,790,,2018-09-02 07:19:00,2018,9,Sunday,7,Part Three,ORKNEY RD,42.33691995,-71.14960316,"(42.33691995, -71.14960316)"
I182070487,03001,Medical Assistance,DEATH INVESTIGATION,D14,761,,2018-09-02 07:01:00,2018,9,Sunday,7,Part Three,BROCK ST,42.35087795,-71.16036469,"(42.35087795, -71.16036469)"
I182070486,03007,Medical Assistance,SUDDEN DEATH,C11,336,,2018-09-02 05:00:00,2018,9,Sunday,5,Part Three,BLAKEVILLE ST,42.30470597,-71.07091547,"(42.30470597, -71.07091547)"
I182070485,01402,Vandalism,VANDALISM,C11,451,,2018-09-02 06:26:00,2018,9,Sunday,6,Part Two,WASHINGTON ST,42.29417346,-71.07193797,"(42.29417346, -71.07193797)"
I182070484,01402,Vandalism,VANDALISM,E5,674,,2018-09-02 06:58:00,2018,9,Sunday,6,Part Two,SOUTH ST,42.28878014,-71.13438128,"(42.28878014, -71.13438128)"
I182070483,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,, ,,2018-09-02 05:41:00,2018,9,Sunday,5,Part Three,,42.38046025,-71.02436908,"(42.38046025, -71.02436908)"
I182070482,02660,Other,OTHER OFFENSE,C6,914,,2018-09-02 05:59:00,2018,9,Sunday,5,Part Two,DR. MICHAEL GAVIN WAY,42.32614559,-71.05349144,"(42.32614559, -71.05349144)"
I182070479,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,C6, ,,2018-09-02 05:06:00,2018,9,Sunday,5,Part One,,,,"(0.00000000, 0.00000000)"
I182070477,03115,Investigate Person,INVESTIGATE PERSON,C11,341,,2018-09-02 04:53:00,2018,9,Sunday,4,Part Three,NORTON ST,42.30460308,-71.06691869,"(42.30460308, -71.06691869)"
I182070476,00619,Larceny,LARCENY ALL OTHERS,D14,795,,2018-09-02 03:56:00,2018,9,Sunday,3,Part One,CAMBRIDGE ST,42.35343384,-71.13786355,"(42.35343384, -71.13786355)"
I182070476,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,795,,2018-09-02 03:56:00,2018,9,Sunday,3,Part Two,CAMBRIDGE ST,42.35343384,-71.13786355,"(42.35343384, -71.13786355)"
I182070475,03830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,, ,,2018-09-02 03:53:00,2018,9,Sunday,3,Part Three,,42.29819526,-71.08691580,"(42.29819526, -71.08691580)"
I182070474,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,321,,2018-09-02 02:52:00,2018,9,Sunday,2,Part Three,INTERVALE ST,42.31226098,-71.08179001,"(42.31226098, -71.08179001)"
I182070473,03114,Investigate Property,INVESTIGATE PROPERTY,E13,916,,2018-09-02 03:59:00,2018,9,Sunday,3,Part Three,PARKER ST,42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
I182070472,00301,Robbery,ROBBERY - STREET,A1,92,,2018-09-02 03:27:00,2018,9,Sunday,3,Part One,COURT ST,42.35925400,-71.05947700,"(42.35925400, -71.05947700)"
I182070470,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,, ,,2018-09-02 03:26:00,2018,9,Sunday,3,Part Three,,42.30467915,-71.10925951,"(42.30467915, -71.10925951)"
I182070468,03115,Investigate Person,INVESTIGATE PERSON,B3,452,,2018-09-02 03:04:00,2018,9,Sunday,3,Part Three,MERLIN ST,42.29504764,-71.07486557,"(42.29504764, -71.07486557)"
I182070467,02647,Other,THREATS TO DO BODILY HARM,C6,174,,2018-09-01 23:06:00,2018,9,Saturday,23,Part Two,DORCHESTER AVE,42.33980295,-71.05718881,"(42.33980295, -71.05718881)"
I182070466,03301,Verbal Disputes,VERBAL DISPUTE,B3,463,,2018-09-02 03:10:00,2018,9,Sunday,3,Part Three,HARVARD ST,42.29260629,-71.08989828,"(42.29260629, -71.08989828)"
I182070464,03115,Investigate Person,INVESTIGATE PERSON,C11,243,,2018-09-02 02:23:00,2018,9,Sunday,2,Part Three,PLEASANT ST,42.31646016,-71.05947087,"(42.31646016, -71.05947087)"
I182070463,03114,Investigate Property,INVESTIGATE PROPERTY,D14,774,,2018-09-02 03:01:00,2018,9,Sunday,3,Part Three,SOUTH ST,42.33999850,-71.15676330,"(42.33999850, -71.15676330)"
I182070461,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,263,,2018-09-02 00:46:00,2018,9,Sunday,0,Part Three,DUDLEY ST,42.32375515,-71.07391884,"(42.32375515, -71.07391884)"
I182070459,03207,Property Found,PROPERTY - FOUND,D14,794,,2018-09-02 02:22:00,2018,9,Sunday,2,Part Three,BRIGHTON AVE,42.35301119,-71.13261451,"(42.35301119, -71.13261451)"
I182070458,00801,Simple Assault,ASSAULT - SIMPLE,A7,22,,2018-09-02 02:27:00,2018,9,Sunday,2,Part Two,MARION ST,42.37575891,-71.03536688,"(42.37575891, -71.03536688)"
I182070457,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,624,,2018-09-02 02:26:00,2018,9,Sunday,2,Part Two,BOYLSTON ST,42.34489594,-71.09659186,"(42.34489594, -71.09659186)"
I182070456,03114,Investigate Property,INVESTIGATE PROPERTY,, ,,2018-09-02 02:21:00,2018,9,Sunday,2,Part Three,,42.31523705,-71.09777089,"(42.31523705, -71.09777089)"
I182070455,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,2018-09-02 00:29:00,2018,9,Sunday,0,Part Three,KELTON,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182070454,03002,Medical Assistance,ANIMAL CONTROL - DOG BITES - ETC.,A7,30,,2018-09-02 02:05:00,2018,9,Sunday,2,Part Three,MAVERICK ST,42.36848841,-71.03513563,"(42.36848841, -71.03513563)"
I182070453,00801,Simple Assault,ASSAULT - SIMPLE,E5,562,,2018-09-02 02:00:00,2018,9,Sunday,2,Part Two,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
I182070453,01402,Vandalism,VANDALISM,E5,562,,2018-09-02 02:00:00,2018,9,Sunday,2,Part Two,WASHINGTON ST,42.28788933,-71.12658585,"(42.28788933, -71.12658585)"
I182070452,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B3,424,,2018-09-02 01:43:00,2018,9,Sunday,1,Part Three,RIVER ST,42.27014779,-71.08956535,"(42.27014779, -71.08956535)"
I182070450,03201,Property Lost,PROPERTY - LOST,A1,76,,2018-09-01 22:30:00,2018,9,Saturday,22,Part Three,CAUSEWAY ST,42.36558240,-71.06087030,"(42.36558240, -71.06087030)"
I182070448,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,226,,2018-09-02 00:26:00,2018,9,Sunday,0,Part Three,L ST,42.33416500,-71.03533745,"(42.33416500, -71.03533745)"
I182070447,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,,2018-09-02 01:04:00,2018,9,Sunday,1,Part Three,ADAMS ST,42.29636106,-71.05644948,"(42.29636106, -71.05644948)"
I182070446,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,464,,2018-09-01 18:00:00,2018,9,Saturday,18,Part One,BROOKVIEW ST,42.28874110,-71.09117797,"(42.28874110, -71.09117797)"
I182070445,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C11,359,,2018-09-02 01:27:00,2018,9,Sunday,1,Part Three,MELVILLE AVE,42.29380964,-71.07001148,"(42.29380964, -71.07001148)"
I182070444,03115,Investigate Person,INVESTIGATE PERSON,D14,794,,2018-09-02 01:04:00,2018,9,Sunday,1,Part Three,BRIGHTON AVE,42.35315120,-71.13385986,"(42.35315120, -71.13385986)"
I182070441,01402,Vandalism,VANDALISM,C6,214,,2018-09-02 00:30:00,2018,9,Sunday,0,Part Two,W FIFTH ST,42.33598510,-71.05008287,"(42.33598510, -71.05008287)"
I182070440,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,2018-09-02 01:01:00,2018,9,Sunday,1,Part Three,,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182070438,01402,Vandalism,VANDALISM,A1,72,,2018-09-02 00:32:00,2018,9,Sunday,0,Part Two,BOWDOIN ST,42.35832299,-71.06278436,"(42.35832299, -71.06278436)"
I182070438,00423,Aggravated Assault,ASSAULT - AGGRAVATED,A1,72,,2018-09-02 00:32:00,2018,9,Sunday,0,Part One,BOWDOIN ST,42.35832299,-71.06278436,"(42.35832299, -71.06278436)"
I182070437,03125,Warrant Arrests,WARRANT ARREST,E5,822,,2018-09-02 00:28:00,2018,9,Sunday,0,Part Three,RIDGECREST TER,42.26235312,-71.15350513,"(42.26235312, -71.15350513)"
I182070436,03115,Investigate Person,INVESTIGATE PERSON,C11,435,,2018-09-02 00:20:00,2018,9,Sunday,0,Part Three,DUNBAR AVE,42.28644823,-71.07117585,"(42.28644823, -71.07117585)"
I182070435,01831,Drug Violation,DRUGS - SICK ASSIST - OTHER NARCOTIC,D14,752,,2018-09-01 23:39:00,2018,9,Saturday,23,Part Two,WASHINGTON ST,42.34934252,-71.16386818,"(42.34934252, -71.16386818)"
I182070434,03114,Investigate Property,INVESTIGATE PROPERTY,C11,358,,2018-09-02 00:24:00,2018,9,Sunday,0,Part Three,WALDECK ST,42.29786721,-71.06651934,"(42.29786721, -71.06651934)"
I182070433,03108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",, ,,2018-09-02 00:13:00,2018,9,Sunday,0,Part Three,WESTLAND,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I182070432,01402,Vandalism,VANDALISM,E13,508,,2018-09-01 23:57:00,2018,9,Saturday,23,Part Two,HYDE PARK AVE,42.29182835,-71.11780085,"(42.29182835, -71.11780085)"
I182070430,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,, ,,2018-09-02 00:17:00,2018,9,Sunday,0,Part One,,42.33359095,-71.07342099,"(42.33359095, -71.07342099)"
I182070429,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,, ,,2018-09-01 23:30:00,2018,9,Saturday,23,Part Three,,42.33930344,-71.08032038,"(42.33930344, -71.08032038)"
I182070427,03119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B3,410,,2018-09-01 23:08:00,2018,9,Saturday,23,Part Three,MANCHESTER ST,42.27404039,-71.07630093,"(42.27404039, -71.07630093)"
I182070426,03820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,, ,,2018-09-01 23:12:34,2018,9,Saturday,23,Part Three,,42.34917112,-71.08413075,"(42.34917112, -71.08413075)"
I182070425,03115,Investigate Person,INVESTIGATE PERSON,D14,796,,2018-09-01 23:04:00,2018,9,Saturday,23,Part Three,BRIGHTON AVE,42.35283155,-71.13114273,"(42.35283155, -71.13114273)"
I182070424,03301,Verbal Disputes,VERBAL DISPUTE,C11,402,,2018-09-01 22:29:00,2018,9,Saturday,22,Part Three,BURT ST,42.28413536,-71.06957385,"(42.28413536, -71.06957385)"
I182070421,03108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",D4,631,,2018-09-01 22:02:00,2018,9,Saturday,22,Part Three,COMMONWEALTH AVE,42.34981370,-71.10581404,"(42.34981370, -71.10581404)"
I182070419,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,, ,,2018-09-01 22:47:00,2018,9,Saturday,22,Part Three,,42.34529046,-71.06982967,"(42.34529046, -71.06982967)"
I182070418,03115,Investigate Person,INVESTIGATE PERSON,D4,138,,2018-09-01 22:37:00,2018,9,Saturday,22,Part Three,BOYLSTON ST,42.34932471,-71.08014801,"(42.34932471, -71.08014801)"
I182070417,01402,Vandalism,VANDALISM,B2,182,,2018-09-01 18:15:00,2018,9,Saturday,18,Part Two,MARSHFIELD ST,42.32263156,-71.06979845,"(42.32263156, -71.06979845)"
I182070416,03115,Investigate Person,INVESTIGATE PERSON,C11,242,,2018-09-01 23:07:00,2018,9,Saturday,23,Part Three,BAKERSFIELD ST,42.31674327,-71.06104741,"(42.31674327, -71.06104741)"
I182070415,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,938,,2018-09-01 22:35:00,2018,9,Saturday,22,Part Two,FIDELIS WAY,42.34531664,-71.14298078,"(42.34531664, -71.14298078)"
I182070414,00613,Larceny,LARCENY SHOPLIFTING,E18,527,,2018-09-01 22:35:00,2018,9,Saturday,22,Part One,WOLCOTT SQ,42.23730137,-71.13232346,"(42.23730137, -71.13232346)"
I182070413,01402,Vandalism,VANDALISM,D4,144,,2018-09-01 21:41:00,2018,9,Saturday,21,Part Two,CLEARWAY ST,42.34522836,-71.08537838,"(42.34522836, -71.08537838)"
I182070412,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D4,150,,2018-08-26 15:30:00,2018,8,Sunday,15,Part One,COLUMBUS AVE,42.34397100,-71.07747500,"(42.34397100, -71.07747500)"
I182070411,00613,Larceny,LARCENY SHOPLIFTING,D4,142,,2018-09-01 21:48:00,2018,9,Saturday,21,Part One,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I182070410,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,906,,2018-09-01 21:57:00,2018,9,Saturday,21,Part Three,HORAN WAY,42.32547536,-71.10253482,"(42.32547536, -71.10253482)"
I182070406,00619,Larceny,LARCENY ALL OTHERS,A1,103,,2018-09-01 19:45:00,2018,9,Saturday,19,Part One,WASHINGTON ST,42.35680075,-71.05893025,"(42.35680075, -71.05893025)"
I182070405,00724,Auto Theft,AUTO THEFT,C11,358,,2018-09-01 22:09:00,2018,9,Saturday,22,Part One,WASHINGTON ST,42.29569680,-71.07214055,"(42.29569680, -71.07214055)"
I182070404,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,551,,2018-09-01 21:35:00,2018,9,Saturday,21,Part Three,GLENDOWER RD,42.27562519,-71.13142204,"(42.27562519, -71.13142204)"
I182070402,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C6,225,,2018-09-01 21:11:00,2018,9,Saturday,21,Part One,E FOURTH ST,42.33464183,-71.04250708,"(42.33464183, -71.04250708)"
I182070400,03115,Investigate Person,INVESTIGATE PERSON,E13,639,,2018-09-01 20:47:00,2018,9,Saturday,20,Part Three,ROBINWOOD AVE,42.31624019,-71.11267011,"(42.31624019, -71.11267011)"
I182070399,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,,2018-09-01 21:07:00,2018,9,Saturday,21,Part Three,ADAMS ST,42.29681873,-71.05656121,"(42.29681873, -71.05656121)"
I182070398,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,427,,2018-09-01 19:40:00,2018,9,Saturday,19,Part Two,BABSON ST,42.27595146,-71.09248845,"(42.27595146, -71.09248845)"
I182070397,02660,Other,OTHER OFFENSE,E18,515,,2018-09-01 17:03:00,2018,9,Saturday,17,Part Two,ROBBART LN,42.24635332,-71.11366930,"(42.24635332, -71.11366930)"
I182070397,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,E18,515,,2018-09-01 17:03:00,2018,9,Saturday,17,Part One,ROBBART LN,42.24635332,-71.11366930,"(42.24635332, -71.11366930)"
I182070397,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E18,515,,2018-09-01 17:03:00,2018,9,Saturday,17,Part Two,ROBBART LN,42.24635332,-71.11366930,"(42.24635332, -71.11366930)"
I182070397,01402,Vandalism,VANDALISM,E18,515,,2018-09-01 17:03:00,2018,9,Saturday,17,Part Two,ROBBART LN,42.24635332,-71.11366930,"(42.24635332, -71.11366930)"
I182070397,03170,Other,INTIMIDATING WITNESS,E18,515,,2018-09-01 17:03:00,2018,9,Saturday,17,Part Three,ROBBART LN,42.24635332,-71.11366930,"(42.24635332, -71.11366930)"
I182070396,03301,Verbal Disputes,VERBAL DISPUTE,A7,26,,2018-09-01 21:12:00,2018,9,Saturday,21,Part Three,BORDER ST,42.37787573,-71.03995208,"(42.37787573, -71.03995208)"
I182070395,03207,Property Found,PROPERTY - FOUND,A1,78,,2018-09-01 06:30:00,2018,9,Saturday,6,Part Three,BLACKSTONE ST,42.36165196,-71.05630529,"(42.36165196, -71.05630529)"
I182070393,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,416,,2018-09-01 20:10:00,2018,9,Saturday,20,Part Three,WILMINGTON AVE,42.28029155,-71.07220576,"(42.28029155, -71.07220576)"
I182070392,02629,Harassment,HARASSMENT,B2,239,,2018-09-01 18:46:00,2018,9,Saturday,18,Part Two,HAMLET ST,42.31841468,-71.06507314,"(42.31841468, -71.06507314)"
I182070392,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,239,,2018-09-01 18:46:00,2018,9,Saturday,18,Part Three,HAMLET ST,42.31841468,-71.06507314,"(42.31841468, -71.06507314)"
I182070391,03301,Verbal Disputes,VERBAL DISPUTE,C6,234,,2018-09-01 20:36:00,2018,9,Saturday,20,Part Three,E EIGHTH ST,42.33145284,-71.03686785,"(42.33145284, -71.03686785)"
I182070390,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,226,,2018-09-01 20:25:00,2018,9,Saturday,20,Part Two,E BROADWAY,42.33561661,-71.03641895,"(42.33561661, -71.03641895)"
I182070389,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,E18,520,,2018-09-01 21:10:00,2018,9,Saturday,21,Part One,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182070388,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C6,177,,2018-09-01 19:29:23,2018,9,Saturday,19,Part Two,,,,"(0.00000000, 0.00000000)"
I182070388,01874,Drug Violation,DRUGS - OTHER,C6,177,,2018-09-01 19:29:23,2018,9,Saturday,19,Part Two,,,,"(0.00000000, 0.00000000)"
I182070387,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,280,,2018-09-01 20:20:00,2018,9,Saturday,20,Part Three,WARREN ST,42.32978737,-71.08324801,"(42.32978737, -71.08324801)"
I182070386,02405,Disorderly Conduct,DISORDERLY CONDUCT,B3,469,,2018-09-01 21:00:00,2018,9,Saturday,21,Part Two,WALK HILL ST,42.27905730,-71.09584789,"(42.27905730, -71.09584789)"
I182070385,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E13,303,,2018-09-01 19:25:00,2018,9,Saturday,19,Part Three,W WALNUT PARK,42.31865822,-71.10067180,"(42.31865822, -71.10067180)"
I182070384,03112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,E18,519,,2018-09-01 20:01:00,2018,9,Saturday,20,Part Three,WALTER ST,42.25667872,-71.11853971,"(42.25667872, -71.11853971)"
I182070383,03201,Property Lost,PROPERTY - LOST,, ,,2018-09-01 18:50:00,2018,9,Saturday,18,Part Three,,42.34284919,-71.08502585,"(42.34284919, -71.08502585)"
I182070381,01842,Drug Violation,"DRUGS - POSS CLASS A - HEROIN, ETC. ",B2,179,,2018-09-01 20:43:00,2018,9,Saturday,20,Part Two,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
I182070381,02610,Other,TRESPASSING,B2,179,,2018-09-01 20:43:00,2018,9,Saturday,20,Part Two,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
I182070380,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,119,,2018-09-01 20:40:00,2018,9,Saturday,20,Part Two,TREMONT ST,42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
I182070379,02610,Other,TRESPASSING,B2,179,,2018-09-01 16:56:00,2018,9,Saturday,16,Part Two,GERARD ST,42.33176796,-71.07182739,"(42.33176796, -71.07182739)"
I182070377,03301,Verbal Disputes,VERBAL DISPUTE,C6,915,,2018-09-01 19:24:00,2018,9,Saturday,19,Part Three,E EIGHTH ST,42.33255367,-71.05064614,"(42.33255367, -71.05064614)"
I182070376,03115,Investigate Person,INVESTIGATE PERSON,A1,77,,2018-09-01 20:08:00,2018,9,Saturday,20,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182070375,03501,Missing Person Reported,MISSING PERSON,C11,358,,2018-09-01 19:08:00,2018,9,Saturday,19,Part Three,LARCHMONT ST,42.29703368,-71.06860662,"(42.29703368, -71.06860662)"
I182070375,03502,Missing Person Located,MISSING PERSON - LOCATED,C11,358,,2018-09-01 19:08:00,2018,9,Saturday,19,Part Three,LARCHMONT ST,42.29703368,-71.06860662,"(42.29703368, -71.06860662)"
I182070374,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,, ,,2018-09-01 19:33:00,2018,9,Saturday,19,Part Three,,42.33151013,-71.10958389,"(42.33151013, -71.10958389)"
I182070373,03112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,B2,290,,2018-09-01 14:49:00,2018,9,Saturday,14,Part Three,MALCOLM X BLVD,42.33130111,-71.09333508,"(42.33130111, -71.09333508)"
I182070372,02647,Other,THREATS TO DO BODILY HARM,C11,344,,2018-09-01 19:23:00,2018,9,Saturday,19,Part Two,GENEVA AVE,42.30135087,-71.06796465,"(42.30135087, -71.06796465)"
I182070371,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,A1,112,,2018-09-01 17:05:00,2018,9,Saturday,17,Part Two,WASHINGTON ST,42.35512339,-71.06087980,"(42.35512339, -71.06087980)"
I182070370,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,80,,2018-09-01 18:58:00,2018,9,Saturday,18,Part One,PRINCE ST,42.36531295,-71.05565803,"(42.36531295, -71.05565803)"
I182070368,03114,Investigate Property,INVESTIGATE PROPERTY,C11,351,,2018-09-01 19:15:00,2018,9,Saturday,19,Part Three,ADAMS ST,42.29963709,-71.05851176,"(42.29963709, -71.05851176)"
I182070367,03007,Medical Assistance,SUDDEN DEATH,E18,547,,2018-09-01 19:08:00,2018,9,Saturday,19,Part Three,ASHEVILLE RD,42.26831357,-71.12774478,"(42.26831357, -71.12774478)"
I182070366,00613,Larceny,LARCENY SHOPLIFTING,A1,87,,2018-09-01 18:18:00,2018,9,Saturday,18,Part One,COMMERCIAL ST,42.36628674,-71.05135503,"(42.36628674, -71.05135503)"
I182070365,03115,Investigate Person,INVESTIGATE PERSON,E13,651,,2018-08-31 07:00:00,2018,8,Friday,7,Part Three,BOYNTON ST,42.30542129,-71.11325289,"(42.30542129, -71.11325289)"
I182070364,02647,Other,THREATS TO DO BODILY HARM,C6,185,,2018-09-01 18:41:00,2018,9,Saturday,18,Part Two,MASSACHUSETTS AVE,42.32198656,-71.06280666,"(42.32198656, -71.06280666)"
I182070363,03301,Verbal Disputes,VERBAL DISPUTE,B2,611,,2018-09-01 18:35:00,2018,9,Saturday,18,Part Three,MISSION PARK DR,42.33407624,-71.10842653,"(42.33407624, -71.10842653)"
I182070362,03301,Verbal Disputes,VERBAL DISPUTE,B3,455,,2018-09-01 18:46:00,2018,9,Saturday,18,Part Three,TRINITY TER,42.30135530,-71.07790746,"(42.30135530, -71.07790746)"
I182070361,03114,Investigate Property,INVESTIGATE PROPERTY,C11,355,,2018-09-01 19:17:00,2018,9,Saturday,19,Part Three,GIBSON ST,42.29755533,-71.05970910,"(42.29755533, -71.05970910)"
I182070360,00619,Larceny,LARCENY ALL OTHERS,A1,112,,2018-09-01 16:30:00,2018,9,Saturday,16,Part One,WASHINGTON ST,42.35512339,-71.06087980,"(42.35512339, -71.06087980)"
